Hub ID,Order ID,Customer ID,Picker ID,Rider ID,Order Date,Order Quantity,Order Amount,Order Placed TS,Order Assigned TS,Picker Start TS,Picker End TS,Expedited Delivery TS,Rider Pickup TS,Rider Drop TS,Distance KM,Issue Flag,City,Hub Name,Monthly Operating Cost,Picker Name,Rider Name
4,21,911,26,18,19-02-2025,37,195,19-02-2025 16:25,19-02-2025 16:29,19-02-2025 16:39,19-02-2025 16:51,19-02-2025 17:25,19-02-2025 17:06,19-02-2025 18:04,9.7,N,New Laurenchester,Hub_4,15666,Jacob Williams,Dawn Jacobs
9,22,313,7,35,28-05-2025,6,87,28-05-2025 09:48,28-05-2025 09:50,28-05-2025 09:52,28-05-2025 09:59,28-05-2025 10:48,28-05-2025 10:02,28-05-2025 11:00,10.62,N,South Jose,Hub_9,41560,Dwayne Meadows,Clifford Maxwell
4,23,711,27,1,30-06-2025,6,92,30-06-2025 07:54,30-06-2025 07:55,30-06-2025 08:05,30-06-2025 08:20,30-06-2025 08:54,30-06-2025 08:39,30-06-2025 09:00,3.36,N,New Laurenchester,Hub_4,15666,James Donaldson,Monica Schaefer
1,24,932,29,32,06-05-2025,38,64,06-05-2025 22:27,06-05-2025 22:30,06-05-2025 22:34,06-05-2025 22:48,06-05-2025 23:27,06-05-2025 23:05,06-05-2025 23:53,5.84,N,West William,Hub_1,25989,Robert White,Tiffany Novak
8,25,230,7,42,02-08-2025,39,116,02-08-2025 21:03,02-08-2025 21:04,02-08-2025 21:05,02-08-2025 21:20,02-08-2025 22:03,02-08-2025 21:25,02-08-2025 22:04,6.23,N,Gregorymouth,Hub_8,12793,Dwayne Meadows,Colin Dickson
10,26,8,26,18,05-02-2025,28,29,05-02-2025 10:34,05-02-2025 10:35,05-02-2025 10:41,05-02-2025 11:01,05-02-2025 11:34,05-02-2025 11:21,05-02-2025 11:37,11.7,N,West Brandonmouth,Hub_10,47835,Jacob Williams,Dawn Jacobs
4,27,745,47,19,20-09-2025,41,33,20-09-2025 20:42,20-09-2025 20:45,20-09-2025 20:51,20-09-2025 21:09,20-09-2025 21:42,20-09-2025 21:12,20-09-2025 21:23,10.31,N,New Laurenchester,Hub_4,15666,Amy Brown,Hayden Roth DVM
9,28,238,20,46,19-03-2025,47,99,19-03-2025 08:36,19-03-2025 08:39,19-03-2025 08:41,19-03-2025 08:56,19-03-2025 09:36,19-03-2025 09:16,19-03-2025 10:04,3.23,N,South Jose,Hub_9,41560,Jerry Wells,Brian Taylor
2,29,555,24,38,02-04-2025,28,128,02-04-2025 16:55,02-04-2025 16:59,02-04-2025 17:02,02-04-2025 17:13,02-04-2025 17:55,02-04-2025 17:22,02-04-2025 18:08,2.89,Y,Solomonland,Hub_2,10393,Christy Jones,Linda Brown
3,30,747,12,8,26-02-2025,19,149,26-02-2025 20:06,26-02-2025 20:08,26-02-2025 20:17,26-02-2025 20:35,26-02-2025 21:06,26-02-2025 20:43,26-02-2025 21:40,7.61,Y,West Stevenmouth,Hub_3,42292,Alicia Allen,Steven Bailey
9,31,77,25,39,03-03-2025,15,117,03-03-2025 12:14,03-03-2025 12:17,03-03-2025 12:24,03-03-2025 12:41,03-03-2025 13:14,03-03-2025 12:52,03-03-2025 13:23,2.76,N,South Jose,Hub_9,41560,Christian Barton,Charles Nelson
10,32,524,31,48,10-04-2025,10,172,10-04-2025 21:18,10-04-2025 21:20,10-04-2025 21:23,10-04-2025 21:35,10-04-2025 22:18,10-04-2025 21:55,10-04-2025 22:14,5.42,N,West Brandonmouth,Hub_10,47835,Katherine Delacruz,Theresa Nash
4,33,461,7,14,26-06-2025,7,50,26-06-2025 09:33,26-06-2025 09:35,26-06-2025 09:45,26-06-2025 09:52,26-06-2025 10:33,26-06-2025 09:57,26-06-2025 10:14,6.64,N,New Laurenchester,Hub_4,15666,Dwayne Meadows,William Mason
6,34,101,3,46,07-04-2025,33,97,07-04-2025 16:56,07-04-2025 16:58,07-04-2025 17:07,07-04-2025 17:22,07-04-2025 17:56,07-04-2025 17:38,07-04-2025 18:25,11.69,N,East Jaime,Hub_6,28103,Danielle Miller,Brian Taylor
3,35,509,16,19,21-07-2025,34,142,21-07-2025 19:41,21-07-2025 19:45,21-07-2025 19:53,21-07-2025 20:05,21-07-2025 20:41,21-07-2025 20:10,21-07-2025 21:01,6.76,N,West Stevenmouth,Hub_3,42292,Mary Garcia,Hayden Roth DVM
5,36,75,38,25,22-08-2025,42,139,22-08-2025 11:45,22-08-2025 11:49,22-08-2025 11:52,22-08-2025 12:07,22-08-2025 12:45,22-08-2025 12:17,22-08-2025 12:53,2.72,N,West Oscarshire,Hub_5,42107,Robert Vargas,William Cook
4,37,63,17,49,25-09-2025,39,83,25-09-2025 15:16,25-09-2025 15:21,25-09-2025 15:31,25-09-2025 15:47,25-09-2025 16:16,25-09-2025 16:00,25-09-2025 16:37,4.43,N,New Laurenchester,Hub_4,15666,Terry Cook,Patricia Bell
5,38,395,42,41,10-06-2025,12,148,10-06-2025 19:02,10-06-2025 19:07,10-06-2025 19:12,10-06-2025 19:25,10-06-2025 20:02,10-06-2025 19:26,10-06-2025 20:13,9.52,N,West Oscarshire,Hub_5,42107,Ann Tate,Brian Anderson
2,39,487,12,48,01-10-2025,14,47,01-10-2025 11:05,01-10-2025 11:06,01-10-2025 11:13,01-10-2025 11:22,01-10-2025 12:05,01-10-2025 11:28,01-10-2025 11:52,8.83,Y,Solomonland,Hub_2,10393,Alicia Allen,Theresa Nash
5,40,623,4,17,29-09-2025,44,81,29-09-2025 20:54,29-09-2025 20:56,29-09-2025 21:06,29-09-2025 21:24,29-09-2025 21:54,29-09-2025 21:25,29-09-2025 22:25,6.25,N,West Oscarshire,Hub_5,42107,Michael Pugh,Amy Floyd
5,41,822,22,33,24-02-2025,6,142,24-02-2025 17:35,24-02-2025 17:39,24-02-2025 17:49,24-02-2025 18:02,24-02-2025 18:35,24-02-2025 18:03,24-02-2025 18:56,6.99,Y,West Oscarshire,Hub_5,42107,Paul Underwood,Dr. Susan Grant
7,42,513,49,7,27-09-2025,49,60,27-09-2025 13:03,27-09-2025 13:04,27-09-2025 13:05,27-09-2025 13:21,27-09-2025 14:03,27-09-2025 13:28,27-09-2025 14:12,1.17,N,Colinburgh,Hub_7,42748,Beverly Brown,Diane Hernandez
6,43,834,46,21,26-08-2025,8,148,26-08-2025 12:35,26-08-2025 12:36,26-08-2025 12:41,26-08-2025 12:50,26-08-2025 13:35,26-08-2025 12:52,26-08-2025 13:44,6.03,N,East Jaime,Hub_6,28103,Kristen Yoder,Christopher Gutierrez
5,44,260,10,32,29-10-2025,43,138,29-10-2025 15:22,29-10-2025 15:23,29-10-2025 15:32,29-10-2025 15:52,29-10-2025 16:22,29-10-2025 16:06,29-10-2025 16:20,2.61,N,West Oscarshire,Hub_5,42107,Jeanne Lewis,Tiffany Novak
10,45,589,9,21,25-03-2025,18,31,25-03-2025 15:52,25-03-2025 15:57,25-03-2025 16:02,25-03-2025 16:10,25-03-2025 16:52,25-03-2025 16:28,25-03-2025 16:53,10.94,N,West Brandonmouth,Hub_10,47835,Alison Douglas,Christopher Gutierrez
2,46,283,5,42,29-01-2025,48,188,29-01-2025 15:07,29-01-2025 15:10,29-01-2025 15:12,29-01-2025 15:28,29-01-2025 16:07,29-01-2025 15:48,29-01-2025 16:44,3.34,N,Solomonland,Hub_2,10393,Thomas Cruz,Colin Dickson
7,47,6,6,34,19-03-2025,31,199,19-03-2025 12:52,19-03-2025 12:54,19-03-2025 13:04,19-03-2025 13:23,19-03-2025 13:52,19-03-2025 13:34,19-03-2025 14:20,8.73,N,Colinburgh,Hub_7,42748,Bryan Fisher,Mrs. Megan Hall
9,48,333,34,45,03-09-2025,44,127,03-09-2025 20:24,03-09-2025 20:29,03-09-2025 20:39,03-09-2025 20:58,03-09-2025 21:24,03-09-2025 21:01,03-09-2025 21:15,8.28,Y,South Jose,Hub_9,41560,Alan Adams,Cory Gutierrez
3,49,620,21,49,19-05-2025,48,167,19-05-2025 20:12,19-05-2025 20:14,19-05-2025 20:21,19-05-2025 20:38,19-05-2025 21:12,19-05-2025 20:46,19-05-2025 21:33,10.42,N,West Stevenmouth,Hub_3,42292,Lisa Solis,Patricia Bell
8,50,800,43,33,22-05-2025,26,71,22-05-2025 17:38,22-05-2025 17:40,22-05-2025 17:49,22-05-2025 18:02,22-05-2025 18:38,22-05-2025 18:12,22-05-2025 19:10,2.64,Y,Gregorymouth,Hub_8,12793,Elizabeth Williams,Dr. Susan Grant
8,51,465,27,13,03-01-2025,5,100,03-01-2025 17:06,03-01-2025 17:09,03-01-2025 17:13,03-01-2025 17:23,03-01-2025 18:06,03-01-2025 17:39,03-01-2025 17:53,5.3,N,Gregorymouth,Hub_8,12793,James Donaldson,Kristen Torres
6,52,711,15,6,08-04-2025,21,100,08-04-2025 14:22,08-04-2025 14:23,08-04-2025 14:28,08-04-2025 14:39,08-04-2025 15:22,08-04-2025 14:47,08-04-2025 15:37,6.41,N,East Jaime,Hub_6,28103,Nicole Smith,James Marshall
8,53,874,18,10,30-01-2025,13,118,30-01-2025 11:24,30-01-2025 11:29,30-01-2025 11:37,30-01-2025 11:53,30-01-2025 12:24,30-01-2025 11:59,30-01-2025 12:33,2.28,N,Gregorymouth,Hub_8,12793,Julie Hill,Jessica Pham
9,54,496,17,34,13-01-2025,15,163,13-01-2025 17:39,13-01-2025 17:43,13-01-2025 17:44,13-01-2025 17:57,13-01-2025 18:39,13-01-2025 18:06,13-01-2025 19:06,6.59,N,South Jose,Hub_9,41560,Terry Cook,Mrs. Megan Hall
8,55,102,45,27,10-01-2025,42,151,10-01-2025 08:06,10-01-2025 08:10,10-01-2025 08:12,10-01-2025 08:30,10-01-2025 09:06,10-01-2025 08:41,10-01-2025 08:58,9.93,N,Gregorymouth,Hub_8,12793,Jason Graham,Steven Smith
9,56,770,20,6,17-05-2025,41,156,17-05-2025 11:45,17-05-2025 11:50,17-05-2025 11:57,17-05-2025 12:14,17-05-2025 12:45,17-05-2025 12:32,17-05-2025 13:17,5.81,N,South Jose,Hub_9,41560,Jerry Wells,James Marshall
4,57,760,4,39,08-10-2025,11,152,08-10-2025 17:46,08-10-2025 17:47,08-10-2025 17:53,08-10-2025 18:08,08-10-2025 18:46,08-10-2025 18:23,08-10-2025 19:10,6.67,N,New Laurenchester,Hub_4,15666,Michael Pugh,Charles Nelson
2,58,454,47,5,15-04-2025,8,150,15-04-2025 21:57,15-04-2025 22:01,15-04-2025 22:02,15-04-2025 22:16,15-04-2025 22:57,15-04-2025 22:24,15-04-2025 23:13,6.87,N,Solomonland,Hub_2,10393,Amy Brown,Tracy Warren
8,59,331,28,11,23-04-2025,5,193,23-04-2025 08:06,23-04-2025 08:08,23-04-2025 08:10,23-04-2025 08:16,23-04-2025 09:06,23-04-2025 08:36,23-04-2025 08:53,11.32,N,Gregorymouth,Hub_8,12793,Gregory Lambert,Alejandro Cameron
9,60,339,26,48,26-03-2025,18,110,26-03-2025 14:08,26-03-2025 14:13,26-03-2025 14:18,26-03-2025 14:34,26-03-2025 15:08,26-03-2025 14:36,26-03-2025 15:16,2.11,Y,South Jose,Hub_9,41560,Jacob Williams,Theresa Nash
10,61,709,32,7,24-03-2025,26,89,24-03-2025 08:43,24-03-2025 08:47,24-03-2025 08:54,24-03-2025 09:13,24-03-2025 09:43,24-03-2025 09:14,24-03-2025 09:58,8.63,N,West Brandonmouth,Hub_10,47835,Jacob Henry,Diane Hernandez
7,62,279,1,27,10-09-2025,40,131,10-09-2025 10:22,10-09-2025 10:26,10-09-2025 10:29,10-09-2025 10:44,10-09-2025 11:22,10-09-2025 11:00,10-09-2025 11:19,3.18,N,Colinburgh,Hub_7,42748,Sheila Mcclain,Steven Smith
8,63,482,21,32,18-01-2025,26,39,18-01-2025 22:50,18-01-2025 22:53,18-01-2025 22:54,18-01-2025 23:04,18-01-2025 23:50,18-01-2025 23:22,19-01-2025 00:10,11.44,N,Gregorymouth,Hub_8,12793,Lisa Solis,Tiffany Novak
9,64,151,46,15,23-08-2025,43,125,23-08-2025 22:11,23-08-2025 22:13,23-08-2025 22:22,23-08-2025 22:41,23-08-2025 23:11,23-08-2025 22:43,23-08-2025 23:38,9.85,N,South Jose,Hub_9,41560,Kristen Yoder,Douglas Hull
4,65,982,5,28,30-04-2025,32,70,30-04-2025 08:48,30-04-2025 08:51,30-04-2025 08:57,30-04-2025 09:08,30-04-2025 09:48,30-04-2025 09:18,30-04-2025 09:49,5.12,N,New Laurenchester,Hub_4,15666,Thomas Cruz,Raymond Hardy
8,66,927,14,22,18-09-2025,6,192,18-09-2025 21:07,18-09-2025 21:10,18-09-2025 21:15,18-09-2025 21:28,18-09-2025 22:07,18-09-2025 21:41,18-09-2025 22:38,1.75,N,Gregorymouth,Hub_8,12793,Heather Cooper,Michael Richards
3,67,999,3,36,29-08-2025,8,38,29-08-2025 15:43,29-08-2025 15:46,29-08-2025 15:51,29-08-2025 15:58,29-08-2025 16:43,29-08-2025 15:59,29-08-2025 16:18,2.04,N,West Stevenmouth,Hub_3,42292,Danielle Miller,Pamela Peterson
6,68,382,39,25,31-10-2025,35,194,31-10-2025 09:53,31-10-2025 09:58,31-10-2025 10:05,31-10-2025 10:21,31-10-2025 10:53,31-10-2025 10:28,31-10-2025 10:55,8.63,Y,East Jaime,Hub_6,28103,Michelle Barry,William Cook
6,69,350,7,41,20-06-2025,43,153,20-06-2025 17:39,20-06-2025 17:42,20-06-2025 17:52,20-06-2025 18:05,20-06-2025 18:39,20-06-2025 18:24,20-06-2025 18:44,2.32,Y,East Jaime,Hub_6,28103,Dwayne Meadows,Brian Anderson
2,70,11,44,22,01-07-2025,36,133,01-07-2025 22:26,01-07-2025 22:30,01-07-2025 22:38,01-07-2025 22:56,01-07-2025 23:26,01-07-2025 23:16,02-07-2025 00:13,5.81,N,Solomonland,Hub_2,10393,Katrina Guzman,Michael Richards
9,71,653,45,30,31-07-2025,14,107,31-07-2025 11:03,31-07-2025 11:05,31-07-2025 11:10,31-07-2025 11:19,31-07-2025 12:03,31-07-2025 11:22,31-07-2025 12:07,3.8,N,South Jose,Hub_9,41560,Jason Graham,Jason Johnson
8,72,678,41,34,05-02-2025,43,188,05-02-2025 08:32,05-02-2025 08:33,05-02-2025 08:43,05-02-2025 09:05,05-02-2025 09:32,05-02-2025 09:11,05-02-2025 09:27,6.18,N,Gregorymouth,Hub_8,12793,Dwayne Gonzalez,Mrs. Megan Hall
5,73,994,14,22,29-05-2025,17,115,29-05-2025 12:45,29-05-2025 12:46,29-05-2025 12:48,29-05-2025 13:04,29-05-2025 13:45,29-05-2025 13:06,29-05-2025 13:17,8.27,N,West Oscarshire,Hub_5,42107,Heather Cooper,Michael Richards
1,74,108,47,5,04-07-2025,31,60,04-07-2025 18:50,04-07-2025 18:55,04-07-2025 18:59,04-07-2025 19:15,04-07-2025 19:50,04-07-2025 19:25,04-07-2025 19:47,7.13,N,West William,Hub_1,25989,Amy Brown,Tracy Warren
9,75,943,21,31,22-02-2025,6,93,22-02-2025 17:16,22-02-2025 17:21,22-02-2025 17:22,22-02-2025 17:33,22-02-2025 18:16,22-02-2025 17:51,22-02-2025 18:29,5.96,Y,South Jose,Hub_9,41560,Lisa Solis,Patricia Mccullough
7,76,652,22,13,15-01-2025,17,66,15-01-2025 08:51,15-01-2025 08:56,15-01-2025 08:57,15-01-2025 09:06,15-01-2025 09:51,15-01-2025 09:25,15-01-2025 10:15,9.39,N,Colinburgh,Hub_7,42748,Paul Underwood,Kristen Torres
3,77,521,47,3,15-10-2025,17,194,15-10-2025 21:13,15-10-2025 21:15,15-10-2025 21:23,15-10-2025 21:36,15-10-2025 22:13,15-10-2025 21:44,15-10-2025 22:32,2.09,N,West Stevenmouth,Hub_3,42292,Amy Brown,Bryan Morse
4,78,149,26,26,02-09-2025,14,118,02-09-2025 17:52,02-09-2025 17:53,02-09-2025 17:56,02-09-2025 18:10,02-09-2025 18:52,02-09-2025 18:13,02-09-2025 18:40,4.51,N,New Laurenchester,Hub_4,15666,Jacob Williams,Michael Scott
8,79,721,25,38,24-01-2025,50,37,24-01-2025 08:48,24-01-2025 08:53,24-01-2025 08:55,24-01-2025 09:13,24-01-2025 09:48,24-01-2025 09:29,24-01-2025 10:00,5.0,Y,Gregorymouth,Hub_8,12793,Christian Barton,Linda Brown
5,80,225,10,20,15-08-2025,25,81,15-08-2025 15:54,15-08-2025 15:56,15-08-2025 16:05,15-08-2025 16:21,15-08-2025 16:54,15-08-2025 16:30,15-08-2025 16:51,4.38,Y,West Oscarshire,Hub_5,42107,Jeanne Lewis,Donald Garner
4,81,705,12,41,26-07-2025,39,190,26-07-2025 20:09,26-07-2025 20:14,26-07-2025 20:15,26-07-2025 20:30,26-07-2025 21:09,26-07-2025 20:37,26-07-2025 21:13,8.58,Y,New Laurenchester,Hub_4,15666,Alicia Allen,Brian Anderson
1,82,579,5,25,02-07-2025,19,179,02-07-2025 22:16,02-07-2025 22:21,02-07-2025 22:31,02-07-2025 22:48,02-07-2025 23:16,02-07-2025 22:56,02-07-2025 23:27,3.95,Y,West William,Hub_1,25989,Thomas Cruz,William Cook
2,83,102,11,33,11-02-2025,46,33,11-02-2025 09:08,11-02-2025 09:12,11-02-2025 09:15,11-02-2025 09:36,11-02-2025 10:08,11-02-2025 09:52,11-02-2025 10:23,7.26,N,Solomonland,Hub_2,10393,Melvin Peterson,Dr. Susan Grant
1,84,395,39,7,16-01-2025,39,35,16-01-2025 09:49,16-01-2025 09:54,16-01-2025 10:01,16-01-2025 10:18,16-01-2025 10:49,16-01-2025 10:35,16-01-2025 11:19,5.35,N,West William,Hub_1,25989,Michelle Barry,Diane Hernandez
4,85,572,18,19,20-03-2025,49,160,20-03-2025 10:49,20-03-2025 10:51,20-03-2025 11:00,20-03-2025 11:14,20-03-2025 11:49,20-03-2025 11:15,20-03-2025 11:57,11.2,N,New Laurenchester,Hub_4,15666,Julie Hill,Hayden Roth DVM
2,86,993,19,34,01-04-2025,20,173,01-04-2025 13:51,01-04-2025 13:53,01-04-2025 13:57,01-04-2025 14:10,01-04-2025 14:51,01-04-2025 14:11,01-04-2025 15:03,8.05,Y,Solomonland,Hub_2,10393,Stacy Gomez,Mrs. Megan Hall
2,87,161,11,31,16-01-2025,50,122,16-01-2025 14:17,16-01-2025 14:22,16-01-2025 14:29,16-01-2025 14:46,16-01-2025 15:17,16-01-2025 14:55,16-01-2025 15:24,1.21,N,Solomonland,Hub_2,10393,Melvin Peterson,Patricia Mccullough
9,88,545,30,5,26-05-2025,47,27,26-05-2025 10:30,26-05-2025 10:31,26-05-2025 10:34,26-05-2025 10:48,26-05-2025 11:30,26-05-2025 11:04,26-05-2025 11:48,8.28,N,South Jose,Hub_9,41560,Brianna Wright,Tracy Warren
4,89,762,12,18,16-08-2025,8,112,16-08-2025 18:27,16-08-2025 18:29,16-08-2025 18:37,16-08-2025 18:45,16-08-2025 19:27,16-08-2025 19:00,16-08-2025 20:00,10.14,N,New Laurenchester,Hub_4,15666,Alicia Allen,Dawn Jacobs
10,90,558,42,43,05-07-2025,35,72,05-07-2025 09:49,05-07-2025 09:54,05-07-2025 09:58,05-07-2025 10:10,05-07-2025 10:49,05-07-2025 10:14,05-07-2025 10:52,9.38,N,West Brandonmouth,Hub_10,47835,Ann Tate,Sarah Brooks
10,91,623,50,4,24-07-2025,24,29,24-07-2025 13:46,24-07-2025 13:50,24-07-2025 13:54,24-07-2025 14:06,24-07-2025 14:46,24-07-2025 14:14,24-07-2025 15:10,10.49,N,West Brandonmouth,Hub_10,47835,Timothy Case,Shannon Mcdonald
7,92,660,13,22,26-09-2025,33,147,26-09-2025 18:04,26-09-2025 18:09,26-09-2025 18:12,26-09-2025 18:32,26-09-2025 19:04,26-09-2025 18:51,26-09-2025 19:10,5.55,N,Colinburgh,Hub_7,42748,Suzanne Ray,Michael Richards
1,93,584,8,7,25-07-2025,24,33,25-07-2025 12:36,25-07-2025 12:39,25-07-2025 12:49,25-07-2025 13:04,25-07-2025 13:36,25-07-2025 13:11,25-07-2025 13:57,10.54,N,West William,Hub_1,25989,Alicia Coleman,Diane Hernandez
7,94,646,32,4,18-04-2025,49,153,18-04-2025 16:50,18-04-2025 16:55,18-04-2025 16:58,18-04-2025 17:14,18-04-2025 17:50,18-04-2025 17:22,18-04-2025 17:55,8.44,N,Colinburgh,Hub_7,42748,Jacob Henry,Shannon Mcdonald
10,95,316,44,19,11-08-2025,29,145,11-08-2025 20:57,11-08-2025 21:00,11-08-2025 21:03,11-08-2025 21:18,11-08-2025 21:57,11-08-2025 21:35,11-08-2025 22:09,3.83,N,West Brandonmouth,Hub_10,47835,Katrina Guzman,Hayden Roth DVM
6,96,179,47,16,06-03-2025,19,51,06-03-2025 18:50,06-03-2025 18:51,06-03-2025 18:58,06-03-2025 19:12,06-03-2025 19:50,06-03-2025 19:29,06-03-2025 20:05,7.18,N,East Jaime,Hub_6,28103,Amy Brown,Jonathan Ferguson
4,97,663,49,8,07-04-2025,34,127,07-04-2025 13:53,07-04-2025 13:57,07-04-2025 14:06,07-04-2025 14:19,07-04-2025 14:53,07-04-2025 14:27,07-04-2025 15:20,9.32,N,New Laurenchester,Hub_4,15666,Beverly Brown,Steven Bailey
9,98,235,25,21,23-04-2025,32,84,23-04-2025 15:49,23-04-2025 15:54,23-04-2025 15:58,23-04-2025 16:12,23-04-2025 16:49,23-04-2025 16:32,23-04-2025 17:05,7.22,N,South Jose,Hub_9,41560,Christian Barton,Christopher Gutierrez
8,99,67,14,19,04-08-2025,43,118,04-08-2025 14:35,04-08-2025 14:36,04-08-2025 14:39,04-08-2025 14:57,04-08-2025 15:35,04-08-2025 14:58,04-08-2025 15:40,8.03,Y,Gregorymouth,Hub_8,12793,Heather Cooper,Hayden Roth DVM
2,100,834,39,26,03-07-2025,31,56,03-07-2025 17:11,03-07-2025 17:14,03-07-2025 17:21,03-07-2025 17:42,03-07-2025 18:11,03-07-2025 18:00,03-07-2025 19:00,2.47,Y,Solomonland,Hub_2,10393,Michelle Barry,Michael Scott
